Date,Stock_Close,Exchange_Close
2021-12-29,78800,1187.8499755859375
2021-12-30,78300,1183.6700439453125
2022-01-03,78600,1187.780029296875
2022-01-04,78700,1194.6800537109375
2022-01-05,77400,1196.5
2022-01-06,76900,1199.25
2022-01-07,78300,1205.780029296875
2022-01-10,78000,1196.8800048828125
2022-01-11,78900,1198.0899658203125
2022-01-12,78900,1189.4300537109375
2022-01-13,77900,1185.8800048828125
2022-01-14,77300,1186.6099853515625
2022-01-17,77500,1188.9599609375
2022-01-18,77000,1190.06005859375
2022-01-19,76300,1192.97998046875
2022-01-20,76500,1188.1600341796875
2022-01-21,75600,1192.4300537109375
2022-01-24,75100,1191.5
2022-01-25,74000,1195.6600341796875
2022-01-26,73300,1196.0999755859375
2022-01-27,71300,1200.6300048828125
2022-01-28,73300,1203.4599609375
2022-02-03,73300,1199.9599609375
2022-02-04,74000,1200.3299560546875
2022-02-07,73000,1197.0899658203125
2022-02-08,73500,1196.8499755859375
2022-02-09,74700,1196.3599853515625
2022-02-10,75400,1194.030029296875
2022-02-11,74900,1199.3499755859375
2022-02-14,73700,1199.239990234375
2022-02-15,73700,1197.3599853515625
2022-02-16,74800,1196.8299560546875
2022-02-17,75000,1196.75
2022-02-18,74300,1198.6600341796875
2022-02-21,74200,1195.0699462890625
2022-02-22,73400,1194.6800537109375
2022-02-23,73000,1192.6800537109375
2022-02-24,71500,1192.4000244140625
2022-02-25,71900,1206.0
2022-02-28,72100,1197.5899658203125
2022-03-02,71700,1205.3699951171875
2022-03-03,72900,1203.1500244140625
2022-03-04,71500,1205.989990234375
2022-03-07,70100,1216.7099609375
2022-03-08,69500,1232.300048828125
2022-03-10,71200,1223.22998046875
2022-03-11,70000,1228.5999755859375
2022-03-14,70200,1236.8900146484375
2022-03-15,69500,1242.050048828125
2022-03-16,70400,1241.6800537109375
2022-03-17,71200,1223.0
2022-03-18,70700,1210.3299560546875
2022-03-21,69900,1210.3699951171875
2022-03-22,70300,1219.780029296875
2022-03-23,70500,1214.949951171875
2022-03-24,69800,1218.010009765625
2022-03-25,69800,1217.550048828125
2022-03-28,69700,1223.6600341796875
2022-03-29,70200,1209.1300048828125
2022-03-30,69900,1210.43994140625
2022-03-31,69600,1214.5
2022-04-04,69300,1213.9000244140625
2022-04-05,69200,1218.75
2022-04-06,68500,1217.5999755859375
2022-04-07,68000,1222.6600341796875
2022-04-11,67900,1235.050048828125
2022-04-12,67000,1228.5999755859375
2022-04-13,68700,1223.1199951171875
2022-04-14,67500,1230.0999755859375
2022-04-18,66700,1235.3499755859375
2022-04-19,67300,1239.5999755859375
2022-04-20,67400,1234.0899658203125
2022-04-21,67700,1242.489990234375
2022-04-25,66300,1249.2099609375
2022-04-26,66100,1260.7099609375
2022-04-27,65000,1266.280029296875
2022-04-28,64800,1272.2900390625
2022-05-02,67300,1266.75
2022-05-03,67500,1261.06005859375
2022-05-04,67900,1251.5
2022-05-09,66100,1274.8599853515625
2022-05-10,65700,1276.550048828125
2022-05-11,65700,1278.1500244140625
2022-05-12,64900,1290.75
2022-05-16,66300,1279.8499755859375
2022-05-17,67600,1266.6600341796875
2022-05-18,68100,1275.5799560546875
2022-05-19,67500,1263.550048828125
2022-05-23,67900,1258.8199462890625
2022-05-24,66500,1260.989990234375
2022-05-25,66400,1266.5999755859375
2022-05-26,65900,1258.8900146484375
2022-05-30,67700,1236.1700439453125
2022-05-31,67400,1241.739990234375
2022-06-02,66700,1240.8399658203125
2022-06-07,65500,1254.5799560546875
2022-06-08,65300,1256.739990234375
2022-06-09,65200,1264.02001953125
2022-06-13,62100,1291.800048828125
2022-06-14,61900,1289.47998046875
2022-06-15,60700,1278.1600341796875
2022-06-16,60900,1288.1800537109375
2022-06-20,58700,1292.3800048828125
2022-06-21,58500,1291.5999755859375
2022-06-22,57600,1297.6800537109375
2022-06-23,57400,1299.81005859375
2022-06-27,58800,1286.199951171875
2022-06-28,59400,1292.030029296875
2022-06-29,58000,1301.72998046875
2022-06-30,57000,1287.7099609375
2022-07-04,57100,1295.6800537109375
2022-07-05,57200,1308.6600341796875
2022-07-06,56400,1304.8499755859375
2022-07-07,58200,1297.6500244140625
2022-07-11,58800,1310.8599853515625
2022-07-12,58100,1305.8299560546875
2022-07-13,58000,1304.8499755859375
2022-07-14,57500,1316.1800537109375
2022-07-18,61900,1318.9100341796875
2022-07-19,60900,1305.5
2022-07-20,60500,1312.8699951171875
2022-07-21,61800,1306.8499755859375
2022-07-25,61100,1310.4000244140625
2022-07-26,61700,1310.9000244140625
2022-07-27,61800,1305.949951171875
2022-07-28,61900,1295.1500244140625
2022-08-01,61300,1306.75
2022-08-02,61700,1314.6300048828125
2022-08-03,61300,1307.3800048828125
2022-08-04,61500,1302.0799560546875
2022-08-08,60800,1299.030029296875
2022-08-09,60000,1307.56005859375
2022-08-10,59100,1296.699951171875
2022-08-11,59900,1306.8299560546875
2022-08-16,61000,1311.0
2022-08-17,60400,1314.8299560546875
2022-08-18,61500,1326.9100341796875
2022-08-22,60000,1343.3599853515625
2022-08-23,59100,1339.0799560546875
2022-08-24,59000,1340.0
2022-08-25,59700,1334.43994140625
2022-08-29,58600,1345.72998046875
2022-08-30,58800,1350.18994140625
2022-08-31,59700,1342.260009765625
2022-09-01,58400,1355.0999755859375
2022-09-05,57100,1361.81005859375
2022-09-06,57100,1378.1099853515625
2022-09-07,56000,1374.31005859375
2022-09-08,55600,1383.0
2022-09-13,58100,1393.469970703125
2022-09-14,56800,1391.1800537109375
2022-09-15,56000,1398.6300048828125
2022-09-19,56400,1390.1099853515625
2022-09-20,55800,1392.510009765625
2022-09-21,55300,1397.56005859375
2022-09-22,54400,1403.6600341796875
2022-09-26,53900,1429.77001953125
2022-09-27,54200,1426.260009765625
2022-09-28,52900,1421.949951171875
2022-09-29,52600,1430.1700439453125
2022-10-04,55200,1416.530029296875
2022-10-05,56000,1416.760009765625
2022-10-06,56300,1408.449951171875
2022-10-11,55400,1430.800048828125
2022-10-12,55800,1423.9000244140625
2022-10-13,55200,1430.300048828125
2022-10-17,56600,1430.1500244140625
2022-10-18,56500,1425.02001953125
2022-10-19,55800,1435.010009765625
2022-10-20,55500,1430.31005859375
2022-10-24,57500,1443.9599609375
2022-10-25,57700,1426.9300537109375
2022-10-26,59400,1412.68994140625
2022-10-27,59500,1420.6500244140625
2022-10-31,59400,1421.6500244140625
2022-11-01,60000,1424.6700439453125
2022-11-02,59600,1416.5999755859375
2022-11-03,59200,1423.0999755859375
2022-11-04,59400,1423.6500244140625
2022-11-07,60200,1402.1099853515625
2022-11-08,61800,1392.699951171875
2022-11-09,62000,1374.1500244140625
2022-11-10,60400,1370.550048828125
2022-11-11,62900,1349.3699951171875
2022-11-14,61900,1313.030029296875
2022-11-15,62400,1324.0799560546875
2022-11-16,62700,1316.260009765625
2022-11-17,61400,1336.4300537109375
2022-11-18,61800,1342.75
2022-11-21,61400,1339.030029296875
2022-11-22,60600,1359.75
2022-11-23,61000,1352.68994140625
2022-11-24,61400,1336.81005859375
2022-11-25,61000,1317.8900146484375
2022-11-28,60100,1334.56005859375
2022-11-29,60600,1340.1199951171875
2022-11-30,62200,1325.3699951171875
2022-12-01,62600,1279.800048828125
2022-12-02,60400,1303.25
2022-12-05,60300,1299.1700439453125
2022-12-06,59200,1304.3699951171875
2022-12-07,58900,1319.7099609375
2022-12-08,59200,1314.0999755859375
2022-12-09,60400,1316.6300048828125
2022-12-12,59500,1303.1700439453125
2022-12-13,59700,1305.9200439453125
2022-12-14,60500,1288.97998046875
2022-12-15,59300,1295.6800537109375
2022-12-16,59500,1317.0999755859375
2022-12-19,59500,1308.8599853515625
2022-12-20,58600,1301.3299560546875
2022-12-21,58000,1283.6400146484375
2022-12-22,59100,1280.77001953125
2022-12-23,58100,1290.199951171875
2022-12-26,57900,1279.239990234375
2022-12-27,58100,1275.1300048828125
2022-12-28,56600,1272.280029296875
2022-12-29,55300,1274.3199462890625
2023-01-02,55500,1260.9100341796875
2023-01-03,55400,1270.0999755859375
2023-01-04,57800,1279.0799560546875
2023-01-05,58200,1271.0799560546875
2023-01-06,59000,1274.1800537109375
2023-01-09,60700,1252.8800048828125
2023-01-10,60400,1239.280029296875
2023-01-11,60500,1240.1600341796875
2023-01-12,60500,1241.5999755859375
2023-01-13,60800,1239.1300048828125
2023-01-16,61100,1236.5899658203125
2023-01-17,61000,1240.7099609375
2023-01-18,60400,1237.0
2023-01-19,61500,1237.8800048828125
2023-01-20,61800,1232.1800537109375
2023-01-25,63400,1232.6600341796875
2023-01-26,63900,1232.5899658203125
2023-01-27,64600,1231.8499755859375
2023-01-30,63300,1228.949951171875
2023-01-31,61000,1231.5
2023-02-01,61800,1232.1500244140625
2023-02-02,63500,1221.949951171875
2023-02-03,63800,1224.9000244140625
2023-02-06,61600,1246.75
2023-02-07,61900,1261.22998046875
2023-02-08,63100,1255.3499755859375
2023-02-09,63000,1260.469970703125
2023-02-10,62800,1264.550048828125
2023-02-13,62900,1266.8699951171875
2023-02-14,63200,1272.93994140625
2023-02-15,62200,1272.25
2023-02-16,63700,1283.719970703125
2023-02-17,62600,1288.9599609375
2023-02-20,62700,1293.9200439453125
2023-02-21,62100,1296.1099853515625
2023-02-22,61100,1305.8299560546875
2023-02-23,62000,1302.8299560546875
2023-02-24,61300,1298.0799560546875
2023-02-27,60500,1313.699951171875
2023-02-28,60600,1318.3499755859375
2023-03-02,60800,1305.72998046875
2023-03-03,60500,1311.06005859375
2023-03-06,61500,1294.780029296875
2023-03-07,60700,1299.0
2023-03-08,60300,1317.9000244140625
2023-03-09,60100,1316.449951171875
2023-03-10,59500,1325.550048828125
2023-03-13,60000,1319.5400390625
2023-03-14,59000,1296.3800048828125
2023-03-15,59800,1304.5799560546875
2023-03-16,59900,1311.739990234375
2023-03-17,61300,1301.6199951171875
2023-03-20,60200,1307.6500244140625
2023-03-21,60300,1304.93994140625
2023-03-22,61100,1303.43994140625
2023-03-23,62300,1298.25
2023-03-24,63000,1286.2900390625
2023-03-27,62100,1297.800048828125
2023-03-28,62900,1296.97998046875
2023-03-29,62700,1307.1300048828125
2023-03-30,63200,1296.5
2023-04-03,63100,1308.050048828125
2023-04-04,63600,1312.4100341796875
2023-04-05,63900,1316.2099609375
2023-04-06,62300,1317.93994140625
2023-04-10,65700,1320.8800048828125
2023-04-11,65900,1322.0899658203125
2023-04-12,66000,1322.8299560546875
2023-04-13,66100,1301.4300537109375
2023-04-17,65300,1316.0699462890625
2023-04-18,65600,1315.9000244140625
